soundlog_id,author,language_code,voice_type,creation_date,audio_size,session_type,expected_response,overall_score,phoneme_response,xml_path,audio_path
216a1e02-66b4-499e-9072-4aaf85d4270c,b5f6370a-36db-4ad8-88d4-2fc9e380be49,de-DE,male,2022-09-11T04:59:09Z,41004,ListenForPhrasesGMMSession,ein Hemd,10,,mrh/21//216a1e02-66b4-499e-9072-4aaf85d4270c.xml,mrh/21//216a1e02-66b4-499e-9072-4aaf85d4270c.wav
2271bea3-0edd-4633-bb70-0e833db8d483,9bcd1b8e-990b-4ac0-b999-cfa05dcb620c,de-DE,male,2022-09-11T22:55:01Z,163244,ListenForPhrasesGMMSession,"In Julias Brief steht, dass sie in der Nähe von Berlin ist.",10,,mrh/22//2271bea3-0edd-4633-bb70-0e833db8d483.xml,mrh/22//2271bea3-0edd-4633-bb70-0e833db8d483.wav
229c8dd5-9c5d-4d92-a750-930160b573ea,10f91f91-abac-4226-a7d4-26d9d8e370b3,de-DE,male,2022-09-12T02:53:11Z,143404,ListenForPhrasesGMMSession,"eins, zwei, drei, vier, fünf",10,,mrh/22//229c8dd5-9c5d-4d92-a750-930160b573ea.xml,mrh/22//229c8dd5-9c5d-4d92-a750-930160b573ea.wav
29c81351-0b79-458b-b188-eced46a4c4d5,6b6ffe83-dac3-4aa1-aee1-5beab2ff44b4,de-DE,male,2022-09-13T17:16:26Z,41004,ListenForPhrasesGMMSession,Guten Tag,10,,mrh/29//29c81351-0b79-458b-b188-eced46a4c4d5.xml,mrh/29//29c81351-0b79-458b-b188-eced46a4c4d5.wav
2e3a4ecd-320b-4841-a9d2-eddffc35c2aa,8fd7f874-00ac-4a11-87dc-a6abffd1f66f,de-DE,male,2022-09-13T21:40:14Z,46124,ListenForPhrasesGMMSession,rennt,10,,mrh/2e//2e3a4ecd-320b-4841-a9d2-eddffc35c2aa.xml,mrh/2e//2e3a4ecd-320b-4841-a9d2-eddffc35c2aa.wav
2e9b48fb-c0f3-4bb8-8961-f240b91f8245,82c68651-4ab8-402b-9738-c768dc18baa6,de-DE,male,2022-09-12T06:59:45Z,71724,ListenForPhrasesGMMSession,Welches Kleid gefällt dir besser?,10,,mrh/2e//2e9b48fb-c0f3-4bb8-8961-f240b91f8245.xml,mrh/2e//2e9b48fb-c0f3-4bb8-8961-f240b91f8245.wav
2ed91a0c-73e4-4e5f-bd8d-3c8df1cf7e2e,f995abc8-2d43-4478-b3b8-e094d7d5bcaa,de-DE,male,2022-09-14T18:16:00Z,66604,ListenForPhrasesGMMSession,"Nett, dich kennenzulernen.",10,,mrh/2e//2ed91a0c-73e4-4e5f-bd8d-3c8df1cf7e2e.xml,mrh/2e//2ed91a0c-73e4-4e5f-bd8d-3c8df1cf7e2e.wav
33575426-3e5a-4818-9b35-c04ee42ec520,930b2b03-375b-4031-9353-d310aaa14e0d,de-DE,male,2022-09-12T21:43:43Z,64684,ListenForPhrasesGMMSession,Hier sind vier Schlüssel.,10,,mrh/33//33575426-3e5a-4818-9b35-c04ee42ec520.xml,mrh/33//33575426-3e5a-4818-9b35-c04ee42ec520.wav
3e931e4e-0e7a-4b61-ae12-3e02fdc661b0,18e5a54e-19eb-102c-9376-0015c5afe2a9,de-DE,male,2022-09-13T00:41:45Z,76844,ListenForPhrasesGMMSession,"Es ist sicher, dieses Wasser zu trinken.",10,,mrh/3e//3e931e4e-0e7a-4b61-ae12-3e02fdc661b0.xml,mrh/3e//3e931e4e-0e7a-4b61-ae12-3e02fdc661b0.wav
3ee642ec-e026-48a0-a164-10e8dc532b72,5ebce6bb-6bdc-4a9a-930c-60b9b44dc6fc,de-DE,male,2022-09-14T16:43:31Z,356524,ListenForPhrasesGMMSession,Gestern habe ich ein Buch gekauft.,10,,mrh/3e//3ee642ec-e026-48a0-a164-10e8dc532b72.xml,mrh/3e//3ee642ec-e026-48a0-a164-10e8dc532b72.wav
3fcd814b-5a81-458f-9c21-0ce12e6dba09,034fa331-5732-44ee-89dd-c381d3c2fc9c,de-DE,male,2022-09-15T15:24:55Z,421804,ListenForPhrasesGMMSession,"Ich freue mich, dass jemand aus unserer Familie immer noch diesen Bauernhof besitzt.",10,,mrh/3f//3fcd814b-5a81-458f-9c21-0ce12e6dba09.xml,mrh/3f//3fcd814b-5a81-458f-9c21-0ce12e6dba09.wav
41a2bd11-7be0-4aa7-86f4-c21902685afe,b55c2367-6023-4535-9f5d-ad38aa864348,de-DE,male,2022-09-13T18:09:45Z,76844,ListenForPhrasesGMMSession,Das Buch kostet fünfzehn Dollar.,10,,mrh/41//41a2bd11-7be0-4aa7-86f4-c21902685afe.xml,mrh/41//41a2bd11-7be0-4aa7-86f4-c21902685afe.wav
44960d7f-7c1d-408d-92c1-3c0bbbf3b7c1,8fd7f874-00ac-4a11-87dc-a6abffd1f66f,de-DE,male,2022-09-14T13:58:01Z,48684,ListenForPhrasesGMMSession,Ja,10,,mrh/44//44960d7f-7c1d-408d-92c1-3c0bbbf3b7c1.xml,mrh/44//44960d7f-7c1d-408d-92c1-3c0bbbf3b7c1.wav
467981fb-a474-4ac1-91d8-fe9b6c551ae3,7cca82ed-9a22-4318-9aa5-139baf9e3ac3,de-DE,male,2022-09-12T20:08:18Z,63404,ListenForPhrasesGMMSession,Ich habe ein gelbes Ei.,10,,mrh/46//467981fb-a474-4ac1-91d8-fe9b6c551ae3.xml,mrh/46//467981fb-a474-4ac1-91d8-fe9b6c551ae3.wav
48318ce0-be20-43a1-990d-ba2ca6b74cde,e9424ba1-d76a-492f-8737-6a1cd05997eb,de-DE,male,2022-09-13T03:00:16Z,28204,ListenForPhrasesGMMSession,Bücher,10,,mrh/48//48318ce0-be20-43a1-990d-ba2ca6b74cde.xml,mrh/48//48318ce0-be20-43a1-990d-ba2ca6b74cde.wav
4b0b871d-2a02-46e5-bfbb-a5c3917b3acc,aea1f033-84ed-440b-83e1-72329ae26166,de-DE,male,2022-09-13T21:17:39Z,192044,ListenForPhrasesGMMSession,Spielen Sie ein Musikinstrument?,10,,mrh/4b//4b0b871d-2a02-46e5-bfbb-a5c3917b3acc.xml,mrh/4b//4b0b871d-2a02-46e5-bfbb-a5c3917b3acc.wav
4bb50a8d-4817-47c1-9bd7-60ac9bae1a42,9f5fdd86-58cd-4169-8f02-a302ddbc010d,de-DE,male,2022-09-14T00:19:33Z,53804,ListenForPhrasesGMMSession,Ich schreibe einen Brief.,10,,mrh/4b//4bb50a8d-4817-47c1-9bd7-60ac9bae1a42.xml,mrh/4b//4bb50a8d-4817-47c1-9bd7-60ac9bae1a42.wav
4c5d23e2-aed4-4b5a-a3a2-146ce9374fed,8049095c-c57d-49fb-863a-953ffb292748,de-DE,male,2022-09-15T20:13:22Z,66604,ListenForPhrasesGMMSession,Sie bürstet sich die Haare.,10,,mrh/4c//4c5d23e2-aed4-4b5a-a3a2-146ce9374fed.xml,mrh/4c//4c5d23e2-aed4-4b5a-a3a2-146ce9374fed.wav
4d0a3658-addb-4f58-a005-3751b8bbb298,862e9ad3-ce7f-4f09-877c-c65a60df735a,de-DE,male,2022-09-15T02:54:23Z,58924,ListenForPhrasesGMMSession,Es schneit.,10,,mrh/4d//4d0a3658-addb-4f58-a005-3751b8bbb298.xml,mrh/4d//4d0a3658-addb-4f58-a005-3751b8bbb298.wav
54440cd7-0601-481b-8783-6440d850577f,ac9f3135-c044-48e3-b7a2-6c60298ece4c,de-DE,male,2022-09-13T15:55:19Z,142764,ListenForPhrasesGMMSession,Das Spielzeug steht neben seinem rechten Fuß.,10,,mrh/54//54440cd7-0601-481b-8783-6440d850577f.xml,mrh/54//54440cd7-0601-481b-8783-6440d850577f.wav
